timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1565694688810,808,Users,200,OK,transaction 1-20,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,808,0,262
1565694688409,1209,Users,200,OK,transaction 1-12,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1209,0,687
1565694688560,1058,Users,200,OK,transaction 1-15,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1058,0,533
1565694688309,1309,Users,200,OK,transaction 1-10,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1309,0,785
1565694688760,858,Users,200,OK,transaction 1-19,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,858,0,336
1565694688060,1558,Users,200,OK,transaction 1-5,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1558,0,1037
1565694688459,1159,Users,200,OK,transaction 1-13,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1159,0,640
1565694688659,959,Users,200,OK,transaction 1-17,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,959,0,439
1565694687980,1638,Users,200,OK,transaction 1-1,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1638,0,1115
1565694689624,91,List Users,200,OK,transaction 1-17,text,true,,861,124,20,20,https://reqres.in/api/users/2,91,0,0
1565694689622,96,List Users,200,OK,transaction 1-19,text,true,,861,124,20,20,https://reqres.in/api/users/2,96,0,0
1565694689622,96,List Users,200,OK,transaction 1-20,text,true,,861,124,20,20,https://reqres.in/api/users/2,96,0,0
1565694689623,99,List Users,200,OK,transaction 1-10,text,true,,861,124,20,20,https://reqres.in/api/users/2,98,0,0
1565694689624,98,List Users,200,OK,transaction 1-15,text,true,,861,124,20,20,https://reqres.in/api/users/2,98,0,0
1565694689623,110,List Users,200,OK,transaction 1-12,text,true,,861,124,20,20,https://reqres.in/api/users/2,110,0,0
1565694689624,110,List Users,200,OK,transaction 1-1,text,true,,861,124,20,20,https://reqres.in/api/users/2,110,0,0
1565694688359,1375,Users,200,OK,transaction 1-11,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1375,0,713
1565694689623,114,List Users,200,OK,transaction 1-13,text,true,,861,124,20,20,https://reqres.in/api/users/2,114,0,0
1565694688511,1226,Users,200,OK,transaction 1-14,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1226,0,580
1565694688259,1478,Users,200,OK,transaction 1-9,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1478,0,833
1565694689622,117,List Users,200,OK,transaction 1-5,text,true,,861,124,20,20,https://reqres.in/api/users/2,117,0,0
1565694689738,20,List Users,200,OK,transaction 1-14,text,true,,861,124,20,20,https://reqres.in/api/users/2,20,0,0
1565694689736,22,List Users,200,OK,transaction 1-11,text,true,,861,124,20,20,https://reqres.in/api/users/2,22,0,0
1565694689738,21,List Users,200,OK,transaction 1-9,text,true,,861,124,20,20,https://reqres.in/api/users/2,21,0,0
1565694689719,85,Create User,201,Created,transaction 1-20,text,true,,614,219,20,20,https://reqres.in/api/users,85,0,0
1565694689719,86,Create User,201,Created,transaction 1-17,text,true,,614,219,20,20,https://reqres.in/api/users,85,0,0
1565694689723,82,Create User,201,Created,transaction 1-10,text,true,,614,219,20,20,https://reqres.in/api/users,81,0,0
1565694689734,69,Create User,201,Created,transaction 1-12,text,true,,614,219,20,20,https://reqres.in/api/users,69,0,0
1565694689723,87,Create User,201,Created,transaction 1-15,text,true,,614,219,20,20,https://reqres.in/api/users,87,0,0
1565694689719,91,Create User,201,Created,transaction 1-19,text,true,,614,219,20,20,https://reqres.in/api/users,91,0,0
1565694689735,76,Create User,201,Created,transaction 1-1,text,true,,614,219,20,20,https://reqres.in/api/users,76,0,0
1565694689740,74,Create User,201,Created,transaction 1-5,text,true,,614,219,20,20,https://reqres.in/api/users,74,0,0
1565694689738,78,Create User,201,Created,transaction 1-13,text,true,,614,219,20,20,https://reqres.in/api/users,77,0,0
1565694689759,76,Create User,201,Created,transaction 1-11,text,true,,614,219,20,20,https://reqres.in/api/users,76,0,0
1565694689759,76,Create User,201,Created,transaction 1-14,text,true,,614,219,20,20,https://reqres.in/api/users,76,0,0
1565694689760,86,Create User,201,Created,transaction 1-9,text,true,,614,219,20,20,https://reqres.in/api/users,85,0,0
1565694689807,45,Missing Password,400,Bad Request,transaction 1-12,text,false,,604,202,20,20,https://reqres.in/api/login,45,0,0
1565694689806,46,Missing Password,400,Bad Request,transaction 1-10,text,false,,604,202,20,20,https://reqres.in/api/login,46,0,0
1565694689813,44,Missing Password,400,Bad Request,transaction 1-19,text,false,,604,202,18,18,https://reqres.in/api/login,44,0,0
1565694689811,47,Missing Password,400,Bad Request,transaction 1-15,text,false,,604,202,18,18,https://reqres.in/api/login,47,0,0
1565694689815,65,Missing Password,400,Bad Request,transaction 1-5,text,false,,604,202,16,16,https://reqres.in/api/login,65,0,0
1565694689805,76,Missing Password,400,Bad Request,transaction 1-20,text,false,,604,202,15,15,https://reqres.in/api/login,76,0,0
1565694689817,64,Missing Password,400,Bad Request,transaction 1-13,text,false,,604,202,15,15,https://reqres.in/api/login,64,0,0
1565694689805,76,Missing Password,400,Bad Request,transaction 1-17,text,false,,604,202,15,15,https://reqres.in/api/login,76,0,0
1565694689836,46,Missing Password,400,Bad Request,transaction 1-14,text,false,,604,202,13,13,https://reqres.in/api/login,46,0,0
1565694689815,77,Missing Password,400,Bad Request,transaction 1-1,text,false,,604,202,11,11,https://reqres.in/api/login,77,0,0
1565694689836,62,Missing Password,400,Bad Request,transaction 1-11,text,false,,604,202,10,10,https://reqres.in/api/login,62,0,0
1565694689846,62,Missing Password,400,Bad Request,transaction 1-9,text,false,,604,202,9,9,https://reqres.in/api/login,62,0,0
1565694688109,2231,Users,200,OK,transaction 1-6,text,true,,1233,130,8,8,https://reqres.in/api/users/?page=2,2231,0,978
1565694687980,2360,Users,200,OK,transaction 1-2,text,true,,1233,130,8,8,https://reqres.in/api/users/?page=2,2360,0,1110
1565694688611,1729,Users,200,OK,transaction 1-16,text,true,,1233,130,8,8,https://reqres.in/api/users/?page=2,1729,0,479
1565694690352,304,List Users,200,OK,transaction 1-6,text,true,,861,124,8,8,https://reqres.in/api/users/2,303,0,280
1565694690656,71,Create User,201,Created,transaction 1-6,text,true,,614,219,8,8,https://reqres.in/api/users,71,0,0
1565694690728,46,Missing Password,400,Bad Request,transaction 1-6,text,false,,604,202,8,8,https://reqres.in/api/login,46,0,0
1565694688709,2480,Users,200,OK,transaction 1-18,text,true,,1233,130,7,7,https://reqres.in/api/users/?page=2,2480,0,363
1565694688011,3200,Users,200,OK,transaction 1-4,text,true,,1233,130,7,7,https://reqres.in/api/users/?page=2,3200,0,1078
1565694687980,3237,Users,200,OK,transaction 1-3,text,true,,1233,130,7,7,https://reqres.in/api/users/?page=2,3237,0,1112
1565694691190,40,List Users,200,OK,transaction 1-18,text,true,,861,124,7,7,https://reqres.in/api/users/2,40,0,27
1565694688159,3078,Users,200,OK,transaction 1-7,text,true,,1233,130,7,7,https://reqres.in/api/users/?page=2,3077,0,929
1565694691212,32,List Users,200,OK,transaction 1-4,text,true,,861,124,7,7,https://reqres.in/api/users/2,32,0,22
1565694691219,43,List Users,200,OK,transaction 1-3,text,true,,861,124,7,7,https://reqres.in/api/users/2,43,0,27
1565694691231,37,Create User,201,Created,transaction 1-18,text,true,,614,219,7,7,https://reqres.in/api/users,37,0,0
1565694691237,35,List Users,200,OK,transaction 1-7,text,true,,861,124,7,7,https://reqres.in/api/users/2,35,0,25
1565694691244,38,Create User,201,Created,transaction 1-4,text,true,,613,219,7,7,https://reqres.in/api/users,38,0,0
1565694688210,3079,Users,200,OK,transaction 1-8,text,true,,1233,130,7,7,https://reqres.in/api/users/?page=2,3079,0,3067
1565694691282,37,Missing Password,400,Bad Request,transaction 1-4,text,false,,604,202,7,7,https://reqres.in/api/login,37,0,0
1565694691262,64,Create User,201,Created,transaction 1-3,text,true,,614,219,6,6,https://reqres.in/api/users,64,0,0
1565694691290,36,List Users,200,OK,transaction 1-8,text,true,,861,124,6,6,https://reqres.in/api/users/2,36,0,25
1565694691269,63,Missing Password,400,Bad Request,transaction 1-18,text,false,,604,202,6,6,https://reqres.in/api/login,63,0,0
1565694691272,63,Create User,201,Created,transaction 1-7,text,true,,614,219,5,5,https://reqres.in/api/users,63,0,0
1565694691326,63,Missing Password,400,Bad Request,transaction 1-3,text,false,,604,202,5,5,https://reqres.in/api/login,63,0,0
1565694691327,65,Create User,201,Created,transaction 1-8,text,true,,614,219,4,4,https://reqres.in/api/users,65,0,0
1565694691336,61,Missing Password,400,Bad Request,transaction 1-7,text,false,,604,202,4,4,https://reqres.in/api/login,61,0,0
1565694691392,63,Missing Password,400,Bad Request,transaction 1-8,text,false,,604,202,3,3,https://reqres.in/api/login,63,0,0
1565694690342,2111,List Users,200,OK,transaction 1-16,text,true,,861,124,2,2,https://reqres.in/api/users/2,2111,0,0
1565694692454,88,Create User,201,Created,transaction 1-16,text,true,,614,219,2,2,https://reqres.in/api/users,87,0,18
1565694692543,36,Missing Password,400,Bad Request,transaction 1-16,text,false,,604,202,2,2,https://reqres.in/api/login,36,0,0
1565694690342,3038,List Users,200,OK,transaction 1-2,text,true,,861,124,1,1,https://reqres.in/api/users/2,3038,0,3026
1565694693381,154,Create User,201,Created,transaction 1-2,text,true,,614,219,1,1,https://reqres.in/api/users,154,0,62
1565694693536,63,Missing Password,400,Bad Request,transaction 1-2,text,false,,604,202,1,1,https://reqres.in/api/login,62,0,0
